Shop_ID,Shopname,Tag,Googlemap_link,District,State,State_code,Latitude,Longitude,Instagram_link,Facebook_link,Twitter_link,Tiktok_link,Whatsapp_link,Date Collected,Time Collected
cxbs-coffee-matcha,CXBS Coffee & Matcha,Night Owl,"https://www.google.com/maps/search/?api=1&query=3.125636,101.4700025&query_place_id=ChIJT1W7mTxRzDERSoeHnavgYBA",Shah Alam,Selangor,10,3.125636,101.4700025,https://www.instagram.com/cxbs.coffee,,,https://www.tiktok.com/@cxbs.coffee,https://wa.me/60122662069,20-03-2024,03:36:07
akhlaken-coffee,Akhlaken Coffee,"Muslim Owner,  Night Owl,  Stall","https://www.google.com/maps/search/?api=1&query=3.1359609,101.4357474&query_place_id=ChIJOQ7hgaxTzDER85ybmq0h6Xc",Klang,Selangor,10,3.1359609,101.4357474,https://www.instagram.com/akhlakenmalaysia/,https://www.facebook.com/akhlakenmalaysia,,https://www.tiktok.com/@akhlakencoffee,,20-03-2024,03:36:07
huri-cofee,Huri Cofee,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=2.837181,101.6368618&query_place_id=ChIJU7d-y-25zTERIW7hBW-PxJU",Banting,Selangor,10,2.837181,101.6368618,https://www.instagram.com/huricoffee.bukitchanggang,,,,https://wa.me/601133250855,20-03-2024,03:36:07
pavlova-cheesecake,Pavlova Cheesecake,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=3.115275,101.8162865&query_place_id=ChIJ_SpNoV4xzDERajxw9hSIlxE",Hulu Langat,Selangor,10,3.115275,101.8162865,https://www.instagram.com/pavlovacheesecake,https://www.facebook.com/dapurbulatbulat,,https://www.tiktok.com/@pavlovacheesecake,https://wa.me/60133334360,20-03-2024,03:36:07
play-klang-c3-cafe,Play Klang C3 Cafe,Non Halal,"https://www.google.com/maps/search/?api=1&query=3.0420257,101.4511787&query_place_id=ChIJsTZxxzBTzDERR7xR9ifwBYE",Klang,Selangor,10,3.0420257,101.4511787,https://www.instagram.com/play_klang,https://www.facebook.com/playklang,,,https://wa.me/60193698321,20-03-2024,03:36:07
cafe-6233,Cafe 6233,Night Owl,"https://www.google.com/maps/search/?api=1&query=3.112431,101.3587378&query_place_id=ChIJn3AZqkhVzDERoBCKNipTek0",Klang,Selangor,10,3.112431,101.3587378,https://www.instagram.com/cafe_6233/?hl=en,https://www.facebook.com/cafe6233,,,https://wa.me/60176460407,20-03-2024,03:36:07
seerti-cafe-qlods,SeErti Cafe,,"https://www.google.com/maps/search/?api=1&query=5.3233622,100.2906276&query_place_id=ChIJl46EFerBSjAR0NmLFUYQr5w",Bayan Lepas,Pulau Pinang,7,5.3233622,100.2906276,https://www.instagram.com/se.erti_,,,,https://wa.me/60174759676,20-03-2024,03:36:07
lepak-backdoor,Lepak Backdoor,"Muslim Owner,  Night Owl","https://www.google.com/maps/?q=5.072120068673138,103.00979328491057",Kuala Berang,Terengganu,11,5.072120068673138,103.00979328491057,https://www.instagram.com/lepakbackdoor,,,https://www.tiktok.com/@gadgetcoffee,https://wa.me/60139328708,20-03-2024,03:36:07
sr-coffee-street-ampang,SR Coffee Street,"Muslim Owner,  Stall","https://www.google.com/maps/search/?api=1&query=3.1439057,101.741801&query_place_id=ChIJMx1HvYs2zDERYfNqQNB-FUU",Kuala Lumpur,Selangor,10,3.1439057,101.741801,https://www.instagram.com/srcoffeestreet,,,,https://wa.me/60163225903,20-03-2024,03:36:07
meet-eat-sp,Meet & Eat SP,,"https://www.google.com/maps/search/?api=1&query=5.6710607,100.5082116&query_place_id=ChIJ3SB8PuEpSzAR7dtLYBwk3qU",Sungai Petani,Kedah,2,5.6710607,100.5082116,https://www.instagram.com/meeteat.sgpetani,,,,https://wa.me/60146612926,20-03-2024,03:36:07
duson-coffee,Duson Coffee,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=6.035260699999999,102.3007537&query_place_id=ChIJiT_HPQC7tjERnST-rTvAjR4",Kota Bharu,Kelantan,3,6.035260699999999,102.3007537,https://www.instagram.com/dusoncoffee,,,,,20-03-2024,03:36:07
thees-coffee,Thees Coffee,"Muslim Owner,  Home","https://www.google.com/maps/search/?api=1&query=2.4430805,102.846888&query_place_id=ChIJwfZ-wfTVzzERNGs_7U8A6II",Segamat,Johor,1,2.4430805,102.846888,https://www.instagram.com/theescoffee,,,https://www.tiktok.com/theescoffee,https://wa.me/60146230402,20-03-2024,03:36:07
click-n-brew-cafe,Click N Brew Cafe,,"https://www.google.com/maps/search/?api=1&query=5.413574,100.334995&query_place_id=ChIJo8mHUTHDSjARLxJ7LIOmusY",George Town,Pulau Pinang,7,5.413574,100.334995,https://www.instagram.com/click_and_brew,,,,https://wa.me/601124157005,20-03-2024,03:36:07
hab-s-coffee,Hab's Coffee,"Muslim Owner,  Night Owl,  Stall","https://www.google.com/maps/search/?api=1&query=3.3188368,101.2695989&query_place_id=ChIJaUwXsmP1zDERykOS5YrLWcQ",Kuala Selangor,Selangor,10,3.3188368,101.2695989,https://www.instagram.com/habscoffee,,,https://www.tiktok.com/@habscoffee,https://wa.me/60176558896,20-03-2024,03:36:07
sereni-y-coffee,Sereni+y Coffee,"Muslim Owner,  Night Owl,  Home","https://www.google.com/maps/?q=3.2389858,101.463125",Bandar Puncak Alam,Selangor,10,3.2389858,101.463125,https://www.instagram.com/serenity.my_,,,https://www.tiktok.com/@serenity.my_,https://wa.me/601173099212,20-03-2024,03:36:07
overgrown-home-cafe,Overgrown Home Cafe,"Muslim Owner,  Home","https://www.google.com/maps/search/?api=1&query=3.1619969,101.7047612&query_place_id=ChIJ4_Apw5VJzDERqNkkUTKKlwM",Kuala Lumpur,Kuala Lumpur,14,3.1619969,101.7047612,https://www.instagram.com/Overgrown_homecafe,,,,https://wa.me/60166285170,20-03-2024,03:36:07
ak-haute-pausa-caffe-cafe,AK Haute Pausa Caffe Cafe,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=5.5165413,100.4481386&query_place_id=ChIJ4UPfr9TRSjARDoo3Y9IKyac",Kepala Batas,Pulau Pinang,7,5.5165413,100.4481386,https://www.instagram.com/ak_hautepausacaffe,https://www.facebook.com/profile.php?id=61552651635626,,https://www.tiktok.com/@akhautepausacafe,https://wa.me/60134705188,20-03-2024,03:36:07
dumoh-coffee-31ebt,dumoh Coffee,Home,"https://www.google.com/maps/search/?api=1&query=3.5463178,103.3801027&query_place_id=ChIJQWlwHX5RzzERD7PvjeUkzGo",Pekan,Pahang,6,3.5463178,103.3801027,https://www.instagram.com/dumohcoffee,,,https://www.tiktok.com/dumohcoffee,https://wa.me/60148491915,20-03-2024,03:36:07
healing-cafe,Healing Cafe,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=4.594277,101.08059&query_place_id=ChIJc_yAeljtyjERvHVAxa_fWj0",Ipoh,Perak,8,4.594277,101.08059,https://www.instagram.com/healingcafeipoh,https://www.facebook.com/LufazsCollection?mibextid=2JQ9oc,,https://www.tiktok.com/@healingcafe88,https://wa.me/60197433970,20-03-2024,03:36:07
get-a-bite-coffee,Get A Bite Coffee,"Muslim Owner,  Home","https://www.google.com/maps/search/?api=1&query=2.2606102,102.2417866&query_place_id=EjkyMiwgSmFsYW4gUGVnYWdhIDEsIFRhbWFuIE1lcmRla2EsIDc1MzUwIE1lbGFrYSwgTWFsYXlzaWEiMBIuChQKEglfs4XGuvrRMRECZZCC_9KJAxAWKhQKEgmTMu_OuvrRMRGTF_V0FS8PbA",Melaka,Melaka,4,2.2606102,102.2417866,https://www.instagram.com/getabitecoffee,https://www.facebook.com/getabitecoffee,,,https://wa.me/60176368746,20-03-2024,03:36:07
gerobok-senjaa,Gerobok Senjaa,"Muslim Owner,  Night Owl,  Home","https://www.google.com/maps/search/?api=1&query=2.794467,101.4833847&query_place_id=ChIJwVjYbwCjzTERwVFskJdjijY",Banting,Selangor,10,2.794467,101.4833847,https://www.instagram.com/gerobok.senjaa,,,https://www.tiktok.com/gerobok https://www.tiktok.com/@gerobok.senja?_t=8jvqpdEGA2U&_r=1,https://wa.me/60169029065,20-03-2024,03:36:07
yang-ni,Yang Ni,"Muslim Owner,  Home","https://www.google.com/maps/?q=3.3227954,101.5887283",Rawang,Selangor,10,3.3227954,101.5887283,https://www.instagram.com/kopiyangni,,,,https://wa.me/601112270907,20-03-2024,03:36:07
kafe-serve,Kafe SERVE,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=2.9385543,101.780839&query_place_id=ChIJqa88M2fJzTERdgTcDuahARs",Bandar Baru Bangi,Selangor,10,2.9385543,101.780839,https://www.instagram.com/servebysk,,,,https://wa.me/60126857065,20-03-2024,03:36:07
toko-asad-peawj,Toko Asad,,"https://www.google.com/maps/search/?api=1&query=2.778541,101.8032861&query_place_id=ChIJxR5LVtvDzTER3_YCHLCqSJ4",Labu,Negeri Sembilan,5,2.778541,101.8032861,https://www.instagram.com/toko.asad,,,,,20-03-2024,03:36:07
bona-vista,Bona Vista,"Muslim Owner,  Home","https://www.google.com/maps/search/?api=1&query=3.0028559,101.795239&query_place_id=ChIJOyOGAcnLzTERIeAqZk4XJtU",Kajang,Selangor,10,3.0028559,101.795239,https://www.instagram.com/bonavista.coffee,,,https://www.tiktok.com/@bonavista.coffee,https://wa.me/60189619254,20-03-2024,03:36:07
kopinikasi,Kopinikasi,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=1.5541793,104.218741&query_place_id=ChIJe0GNI5xN2jERkbbbCxqnY2w",Bandar Penawar,Johor,1,1.5541793,104.218741,https://www.instagram.com/kopinikasi.desaru,,,,https://wa.me/60138812280,20-03-2024,03:36:07
sedikit-kopi,Sedikit Kopi,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=4.6843009,101.1123924&query_place_id=ChIJrVs4rEiTyjERIqPE7T7YpFo",Chemor,Perak,8,4.6843009,101.1123924,https://www.instagram.com/_sedikitkopi_,https://www.facebook.com/sedikitkopi,,https://www.tiktok.com/@_sedikitkopi_,https://wa.me/601156603077,20-03-2024,03:36:07
dan-s-coffee,Dan's Coffee,"Muslim Owner,  Night Owl,  Stall","https://www.google.com/maps/search/?api=1&query=2.7406974,101.8674861&query_place_id=ChIJdYoJg1DDzTER0j-p6qqfNG8",Seremban,Negeri Sembilan,5,2.7406974,101.8674861,https://www.instagram.com/danscoffee_,,,https://www.tiktok.com/@danscoffemy,https://wa.me/60176896636,20-03-2024,03:36:07
laman-kopi-perlis,Laman Kopi,Night Owl,"https://www.google.com/maps/search/?api=1&query=6.3970819,100.127553&query_place_id=ChIJWxzuagCbTDARzCFCzhyCTbE",Kuala Perlis,Perlis,9,6.3970819,100.127553,https://www.instagram.com/lamankopi.perlis,https://www.facebook.com/profile.php?id=61556112269623,,https://www.tiktok.com/@laman.kopi,,20-03-2024,03:36:07
yukk-coffee,Yukk Coffee,,"https://www.google.com/maps/search/?api=1&query=3.1948787,101.6228683&query_place_id=ChIJfdrcaoVHzDERejUu9pQ5fdY",Kuala Lumpur,Kuala Lumpur,14,3.1948787,101.6228683,https://www.instagram.com/yukkcoffee,,,,,20-03-2024,03:36:07
bean-good,Bean Good,Muslim Friendly,"https://www.google.com/maps/search/?api=1&query=3.066816,101.7426409&query_place_id=ChIJzSrD3AU1zDERv3Vboayzwu0",Kuala Lumpur,Kuala Lumpur,14,3.066816,101.7426409,https://www.instagram.com/beangoodkl,https://www.facebook.com/beangoodkl,,,https://wa.me/60183215119,20-03-2024,03:36:07
mizzouu-cafe,Mizzouu Cafe,Night Owl,"https://www.google.com/maps/search/?api=1&query=5.5056002,100.4278577&query_place_id=ChIJ5f5hr9HbSjAR9ve0GDv4iyc",Kepala Batas,Pulau Pinang,7,5.5056002,100.4278577,https://www.instagram.com/mizzouucafe,,,,https://wa.me/601117558990,20-03-2024,03:36:07
ceritera-coffee,Ceritera Coffee,,"https://www.google.com/maps/search/?api=1&query=6.328634099999999,99.7383789&query_place_id=ChIJiX9YUrV5TDAR2XNA5-mdI24",Langkawi,Kedah,2,6.328634099999999,99.7383789,https://www.instagram.com/ceritacoffee.my,,,,https://wa.me/601126743112,20-03-2024,03:36:07
chandella-coffee-tea-lounge,Chandella Coffee & Tea Lounge,"Muslim Friendly,  Home","https://www.google.com/maps/search/?api=1&query=5.3664258,100.4581102&query_place_id=ChIJH0W_ohzJSjARD0_1k00UKXo",Bukit Mertajam,Pulau Pinang,7,5.3664258,100.4581102,https://www.instagram.com/chandella_lounge,,,,https://wa.me/60163473232,20-03-2024,03:36:07
aprel-coffee,Aprel Coffee,Night Owl,"https://www.google.com/maps/search/?api=1&query=3.2160101,101.7044863&query_place_id=ChIJV2cPsI9HzDER20now5p7QVg",Gombak,Kuala Lumpur,14,3.2160101,101.7044863,https://www.instagram.com/aprelcoffeemy,,,,https://wa.me/601137556004,20-03-2024,03:36:07
grand-patani-cafe,Grand Patani Cafe,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=3.8116958,103.3250494&query_place_id=ChIJ0SV5OAC7yDER183XRqWo4L8",Kuantan,Pahang,6,3.8116958,103.3250494,https://www.instagram.com/grandpatanicafe,,,https://www.tiktok.com/@grandpatanicafe,,20-03-2024,03:36:07
ghedde-coffee,Ghedde Coffee,,"https://www.google.com/maps/search/?api=1&query=2.8341177,101.5977315&query_place_id=ChIJ64QKRRy7zTERnUl3Ohuwdcg",Banting,Selangor,10,2.8341177,101.5977315,https://www.instagram.com/ghedde_coffee,,,,,20-03-2024,03:36:07
route-five-cafe,Route Five Cafe,,"https://www.google.com/maps/search/?api=1&query=3.3551564,101.2461772&query_place_id=ChIJ3QMU0RKNzDERfYr4ZmNSA34",Kuala Selangor,Selangor,10,3.3551564,101.2461772,https://www.instagram.com/routefivecafe,,,,https://wa.me/60193344875,20-03-2024,03:36:07
nyiur-pantai-sauh,Nyiur Pantai Sauh,,"https://www.google.com/maps/search/?api=1&query=5.4574579,103.0394605&query_place_id=ChIJB0FcLv-ltzERdJ15Hirxdw0",Kuala Terengganu,Terengganu,11,5.4574579,103.0394605,https://www.instagram.com/nyiurcafepantaisauh,,,,https://wa.me/60125097216,20-03-2024,03:36:07
hazelatte-coffee-studio,Hazelatte Coffee Studio,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=5.6627554,100.5069455&query_place_id=ChIJPQCZY1wpSzARHJxMZR7yh4I",Sungai Petani,Kedah,2,5.6627554,100.5069455,https://www.instagram.com/hazelattecoffeestudio,https://www.facebook.com/hazelattecoffeestudio,,,https://wa.me/601157878708,20-03-2024,03:36:07
cynta-kopi,Cynta Kopi,Night Owl,"https://www.google.com/maps/search/?api=1&query=6.4939405,100.2341985&query_place_id=ChIJOQj2OQCXTDARyL8oYK14VEs",Kangar,Perlis,9,6.4939405,100.2341985,https://www.instagram.com/cynta.kopi,,,,,20-03-2024,03:36:07
harta-space,Harta Space,,"https://www.google.com/maps/search/?api=1&query=3.1585966,101.7515167&query_place_id=ChIJYc7JdbE3zDERt1-ubhEsm6I",Ampang,Selangor,10,3.1585966,101.7515167,https://www.instagram.com/hartaspace,,,,,20-03-2024,03:36:07
marhaen-cafe,Marhaen Cafe,"Muslim Owner,  Home","https://www.google.com/maps/search/?api=1&query=2.3036952,102.2018767&query_place_id=ChIJs1OSlrb70TERrZQ8A0xfgPc",Alor Gajah,Melaka,4,2.3036952,102.2018767,,https://www.facebook.com/marhaencafe,,,https://wa.me/60136713376,20-03-2024,03:36:07
bard-brew,Bard & Brew,,"https://www.google.com/maps/search/?api=1&query=6.1306464,102.2475004&query_place_id=ChIJwVTnnyGvtjER6eTxz5mztYU",Kota Bharu,Kelantan,3,6.1306464,102.2475004,https://www.instagram.com/bardandbrew,,,,,20-03-2024,03:36:07
ruang-pokok,Ruang Pokok,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=6.114668600000001,102.3040433&query_place_id=ChIJFyDKGxmxtjERJIZTRAHCjtA",Kota Bharu,Kelantan,3,6.114668600000001,102.3040433,https://www.instagram.com/ruangpokok,,,,,20-03-2024,03:36:07
beachcinity-coffee,Beachcinity Coffee,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=2.8832775,112.0882051&query_place_id=ChIJm-FKDxlN9jERckbUZ0cBRf4",Mukah,Sarawak,13,2.8832775,112.0882051,https://www.instagram.com/beachcinity_coffee,https://www.facebook.com/beachcinity Coffee,,https://www.tiktok.com/@beachcinity,https://wa.me/60168602179,20-03-2024,03:36:07
duwa,Duwa,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=3.2175876,101.7385198&query_place_id=ChIJ1agZgbY5zDER3hxIB42jg9k",Kuala Lumpur,Kuala Lumpur,14,3.2175876,101.7385198,https://www.instagram.com/duwa.bakestuff,,,https://www.tiktok.com/@duwabakestuff,,20-03-2024,03:36:07
flour-crown,Flour Crown,Muslim Owner,"https://www.google.com/maps/search/?api=1&query=6.2372077,100.4222823&query_place_id=ChIJuRV1ZR1ZSzARY6lFLYKotyY",Jitra,Kedah,2,6.2372077,100.4222823,https://www.instagram.com/flour.crown,,,,,20-03-2024,03:36:07
pick-a-brew-zj8br,Pick a Brew,,"https://www.google.com/maps/search/?api=1&query=5.3492127,100.4666937&query_place_id=ChIJ5bDcpznJSjARDqMCYrr9z4Q",Bukit Mertajam,Pulau Pinang,7,5.3492127,100.4666937,https://www.instagram.com/pick_a_brew_bm,,,,,20-03-2024,03:36:07
j-jafaar-cuisine,J Jafaar Cuisine,,"https://www.google.com/maps/search/?api=1&query=3.1056386,101.6049891&query_place_id=ChIJd8Uwqm1NzDERaet-2GKrRD0",Petaling Jaya,Selangor,10,3.1056386,101.6049891,https://www.instagram.com/jjafaarcuisine,,,,https://wa.me/60102779657,20-03-2024,03:36:07
wooss-pj,WOOSS,,"https://www.google.com/maps/search/?api=1&query=3.0701077,101.6930434&query_place_id=ChIJI-t9205LzDER2FofxyS-r1Q",Kuala Lumpur,Kuala Lumpur,14,3.0701077,101.6930434,https://www.instagram.com/woossofficial,,,,,20-03-2024,03:36:07
fottophy-coffee,Fottophy Coffee,"Muslim Friendly,  Night Owl,  Mobile,  Stall","https://www.google.com/maps/search/?api=1&query=3.1288892,101.5189378&query_place_id=ChIJ8x696txNzDERmC_DmAzdoqU",Shah Alam,Selangor,10,3.1288892,101.5189378,https://www.instagram.com/fottophycoffee.my,,,https://www.tiktok.com/@fottophy.My,https://wa.me/60126334901,20-03-2024,03:36:07
whoops-coffee,Whoops Coffee,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=3.1129127,101.7511928&query_place_id=ChIJUYgwdh03zDERkPDv6w7XC6Q",Kuala Lumpur,Kuala Lumpur,14,3.1129127,101.7511928,https://www.instagram.com/whoopscoffee,https://www.facebook.com/61555302507205,,https://www.tiktok.com/@whoopscoffeemy,https://wa.me/60142587798,20-03-2024,03:36:07
mocka,MOCKA,"Muslim Owner,  Night Owl,  Stall","https://www.google.com/maps/?q=3.0469091,101.4394013",Klang,Selangor,10,3.0469091,101.4394013,,,,https://www.tiktok.com/@pahet.manes,https://wa.me/601137162340,20-03-2024,03:36:07
pagi-place,Pagi Place,"Muslim Owner,  Home,  Early Bird","https://www.google.com/maps/search/?api=1&query=2.9162157,101.7505492&query_place_id=ChIJO7t7bXfNzTERBlqHaIeuXAc",Bandar Baru Bangi,Selangor,10,2.9162157,101.7505492,https://www.instagram.com/pagi.baker,https://www.facebook.com/pagi.place,,https://www.tiktok.com/@pagi.baker,https://wa.me/60129693944,20-03-2024,03:36:07
middle-lane-coffee,Middle Lane Coffee,Early Bird,"https://www.google.com/maps/search/?api=1&query=3.152182,101.7081972&query_place_id=ChIJGfpmoE83zDERDR60O3y_5Us",Kuala Lumpur,Kuala Lumpur,14,3.152182,101.7081972,https://www.instagram.com/middlelane.coffee,,,,https://wa.me/601155074097,20-03-2024,03:36:07
kopi-cemara,Kopi Cemara,"Muslim Owner,  Stall","https://www.google.com/maps/search/?api=1&query=2.995716400000001,101.7054262&query_place_id=ChIJw98doRe1zTER4T7ucVeSnY4",Serdang,Selangor,10,2.995716400000001,101.7054262,https://www.instagram.com/kopicemara.upm,https://www.facebook.com/kopicemara.upm,,https://www.tiktok.com/@kopicemara.upm,https://wa.me/60108754742,20-03-2024,03:36:07
morejoe-coffee,MoreJoe Coffee,"Muslim Owner,  Home","https://www.google.com/maps/?q=3.081366,101.491221",Shah Alam,Selangor,10,3.081366,101.491221,https://www.instagram.com/morejoe.coffee,https://www.facebook.com/morejoecoffee,,https://www.tiktok.com/morejoe.coffee,https://wa.me/60104640388,20-03-2024,03:36:07
amp-cafe,AMP Cafe,,"https://www.google.com/maps/search/?api=1&query=3.1577567,101.7511395&query_place_id=ChIJNR2hD6Q3zDER8nGdOZxTSKw",Ampang,Selangor,10,3.1577567,101.7511395,https://www.instagram.com/ampcafe_my,,,,https://wa.me/60173303865,20-03-2024,03:36:07
coffee-stop,Coffee Stop,"Muslim Owner,  Night Owl,  Mobile,  Stall","https://www.google.com/maps/search/?api=1&query=5.6441557,100.4892462&query_place_id=ChIJsQ1IGTEpSzARYvejZQevnO4",Sungai Petani,Kedah,2,5.6441557,100.4892462,https://www.instagram.com/coffeestopsp,,,https://www.tiktok.com/@coffee_stop.sp,https://wa.me/60124098147,20-03-2024,03:36:07
love-you-latte-slowbar-coffee,Love You Latte Slowbar Coffee,"Muslim Owner,  Mobile,  Stall","https://www.google.com/maps/search/?api=1&query=5.382974,103.1157135&query_place_id=ChIJWfvg3g-9tzERtXZH0MVHqCk",Kuala Terengganu,Terengganu,11,5.382974,103.1157135,https://www.instagram.com/loveyou_latte,,,https://www.tiktok.com/loveyoulatte,https://wa.me/60142971550,20-03-2024,03:36:07
senja-cafes,Senja Cafe's,"Muslim Owner,  Night Owl","https://www.google.com/maps/search/?api=1&query=3.1419544,101.3584883&query_place_id=ChIJOWnyEz5XzDERMur3Y20IhNI",Kapar,Selangor,10,3.1419544,101.3584883,https://www.instagram.com/senja.cafes,https://www.facebook.com/profile.php?id=100094978582800,,https://www.tiktok.com/@senja.cafes,https://wa.me/60168734367,20-03-2024,03:36:07
loaf-adam-patisserie,"Loaf, Adam Patisserie",Muslim Owner,"https://www.google.com/maps/search/?api=1&query=1.494338,103.7400716&query_place_id=ChIJj859oZJx2jERuJRFMT3drko",Johor Bahru,Johor,1,1.494338,103.7400716,https://www.instagram.com/loafadam.patisserie,,,,https://wa.me/60183730400,20-03-2024,03:36:07
rays-bland,RAYs B.Land,Muslim Friendly,"https://www.google.com/maps/search/?api=1&query=3.0943362,101.6316212&query_place_id=ChIJ14lH_GJLzDER1Ri495RFr9w",Petaling Jaya,Selangor,10,3.0943362,101.6316212,https://www.instagram.com/raysgotchu,,,,,20-03-2024,03:36:07
mixof-coffee,Mixof Coffee,Night Owl,"https://www.google.com/maps/search/?api=1&query=2.8223694,101.6945721&query_place_id=ChIJhU4K9h-5zTERpXh6N73PbfE",Sepang,Selangor,10,2.8223694,101.6945721,https://www.instagram.com/mixof.koffee,,,,https://wa.me/60176872050,20-03-2024,03:36:07
mars-coffee,Mars Coffee,"Muslim Owner,  Night Owl,  Stall","https://www.google.com/maps/search/?api=1&query=3.0578937,101.4083367&query_place_id=ChIJZYmOSr5VzDERGYOmgFo9R1I",Klang,Selangor,10,3.0578937,101.4083367,https://www.instagram.com/marscoffee.my,,,,https://wa.me/601110321626,20-03-2024,03:36:07
tanamera-coffee-roastery,Tanamera Coffee & Roastery,"Muslim Owner,  Early Bird","https://www.google.com/maps/search/?api=1&query=3.1679296,101.6524213&query_place_id=ChIJL2ooL_lJzDERklUHLN9hAq8",Kuala Lumpur,Kuala Lumpur,14,3.1679296,101.6524213,https://www.instagram.com/tanameracoffeemys,,,,https://wa.me/60125308268,20-03-2024,03:36:07
kopii-kay,Kopii Kay,"Muslim Owner,  Night Owl,  Home","https://www.google.com/maps/search/?api=1&query=2.8293077,101.6371824&query_place_id=ChIJdZStmgK5zTERCuxQJeNidqs",Banting,Selangor,10,2.8293077,101.6371824,https://www.instagram.com/kopiikay,,,https://www.tiktok.com/@Kopiikay,https://wa.me/60186682062,20-03-2024,03:36:07
